time	V(vrec)
1.002375836499693e-004	6.209599e+002
1.002465303010492e-004	6.209594e+002
1.002644236032090e-004	6.207417e+002
1.003002102075285e-004	6.184233e+002
1.003091568586084e-004	6.169623e+002
1.003270501607682e-004	6.144888e+002
1.003628367650878e-004	6.134142e+002
1.004344099737269e-004	6.131934e+002
1.005503286865006e-004	6.130523e+002
1.017673772819268e-004	6.116169e+002
1.029844258773530e-004	6.101637e+002
1.042014744727792e-004	6.086928e+002
1.054185230682054e-004	6.072042e+002
1.066355716636316e-004	6.056980e+002
1.078526202590578e-004	6.041740e+002
1.090696688544841e-004	6.026323e+002
1.172977958662644e-004	5.920332e+002
1.173218899424336e-004	5.920002e+002
1.175467679866794e-004	5.916962e+002
1.178037714658175e-004	5.913480e+002
1.178067832253387e-004	5.913439e+002
1.178107989047002e-004	5.913385e+002
1.178188302634233e-004	5.913276e+002
1.178348929808694e-004	5.913058e+002
1.178670184157617e-004	5.912621e+002
1.178989570877561e-004	5.912185e+002
1.179297941715317e-004	5.911278e+002
1.179914683390829e-004	5.907885e+002
1.179924749163553e-004	5.907651e+002
1.179944880709003e-004	5.906698e+002
1.179985143799901e-004	5.903394e+002
1.180065669981698e-004	5.893516e+002
1.180068128026680e-004	5.893071e+002
1.180073044116644e-004	5.891896e+002
1.180082876296571e-004	5.889143e+002
1.180102540656426e-004	5.881454e+002
1.180141869376136e-004	5.860109e+002
1.180151701556064e-004	5.851696e+002
1.180171365915919e-004	5.809430e+002
1.180210694635629e-004	5.655933e+002
1.180211923658119e-004	5.641264e+002
1.180212230913742e-004	5.634222e+002
1.180212845424988e-004	5.616741e+002
1.180212999052799e-004	5.611088e+002
1.180213306308422e-004	5.596879e+002
1.180213383122327e-004	5.592095e+002
1.180213536750139e-004	5.579291e+002
1.180213575157092e-004	5.574855e+002
1.180213584758830e-004	5.573384e+002
1.180213603962306e-004	5.569913e+002
1.180213608763175e-004	5.568798e+002
1.180213618364914e-004	5.566058e+002
1.180213620765348e-004	5.565163e+002
1.180213625566217e-004	5.562827e+002
1.180213626766434e-004	5.562048e+002
1.180213627066489e-004	5.561798e+002
1.180213627666597e-004	5.561215e+002
1.180213627816625e-004	5.561038e+002
1.180213628116679e-004	5.560508e+002
1.180213628421855e-004	5.559846e+002
1.180213628498149e-004	5.559816e+002
1.180213628517222e-004	5.559736e+002
1.180213628555369e-004	5.354951e+002
1.180213628631663e-004	3.470346e+002
1.180213628636431e-004	2.339079e+002
1.180213628641200e-004	1.300025e+002
1.180214878645968e-004	7.519286e+002
1.180224878645968e-004	6.782406e+002
1.180227378645968e-004	6.198290e+002
1.180228003645968e-004	6.198707e+002
1.180229253645968e-004	6.199186e+002
1.180231753645968e-004	6.200013e+002
1.180236753645968e-004	6.201298e+002
1.180246753645968e-004	6.202991e+002
1.180266753645968e-004	6.204600e+002
1.180306753645968e-004	6.205415e+002
1.180386753645968e-004	6.205542e+002
1.180546753645968e-004	6.205525e+002
1.180866753645968e-004	6.205490e+002
1.181506753645968e-004	6.205419e+002
1.182786753645968e-004	6.205275e+002
1.184161413312930e-004	6.205118e+002
1.190490436760080e-004	6.204636e+002
1.196819460207230e-004	6.203847e+002
1.203148483654379e-004	6.202752e+002
1.209477507101529e-004	6.201351e+002
1.215806530548679e-004	6.199644e+002
1.222135553995829e-004	6.197631e+002
1.228464577442979e-004	6.195313e+002
1.229870902398426e-004	6.194833e+002
1.231277227353874e-004	6.194057e+002
1.232683552309321e-004	6.192983e+002
1.234089877264769e-004	6.191612e+002
1.235496202220216e-004	6.189944e+002
1.236902527175664e-004	6.187978e+002
1.238308852131111e-004	6.185716e+002
1.239066104030198e-004	6.183762e+002
1.239176249760975e-004	6.183413e+002
1.239396541222527e-004	6.182681e+002
1.239403425330701e-004	6.182657e+002
1.239417193547048e-004	6.182607e+002
1.239444729979742e-004	6.182507e+002
1.239499802845130e-004	6.182300e+002
1.239554542534810e-004	6.182089e+002
1.239648363534453e-004	6.181709e+002
1.239744892843669e-004	6.181295e+002
1.239958101233349e-004	6.180277e+002
1.240057035512585e-004	6.179739e+002
1.240190266863550e-004	6.178931e+002
1.240340409238039e-004	6.177864e+002
1.240548820874715e-004	6.175859e+002
1.240873399724916e-004	5.514347e+002
1.241330591106919e-004	1.537286e+002
1.241334862426696e-004	2.123165e+000
1.241334879111539e-004	1.184040e+000
1.241334883282749e-004	1.021294e+000
1.241334891625171e-004	7.666130e-001
1.241334908310013e-004	3.794459e-001
1.241334912481224e-004	3.110338e-001
1.241334920823646e-004	2.233749e-001
1.241334937508488e-004	1.103137e-001
1.241334958593133e-004	3.763034e-002
1.241334978737640e-004	1.098602e-002
1.241334998601172e-004	3.086358e-003
1.241335019572858e-004	7.897226e-004
1.241335040292974e-004	1.950198e-004
1.241335061105782e-004	4.796091e-005
1.241335081521388e-004	1.202315e-005
1.241335102192387e-004	3.252045e-006
1.241335130622899e-004	5.535316e-007
1.241335165765078e-004	-1.976235e-007
1.241335215607529e-004	-2.242162e-007
1.241335283198651e-004	-6.279711e-008
1.241335398990425e-004	-8.239758e-009
1.241335621545017e-004	-2.580194e-010
1.241336066654200e-004	-1.773090e-012
1.241361111725756e-004	-1.248862e-013
1.241373672368498e-004	-8.855166e-014
1.241388108303022e-004	-8.109841e-014
1.241408807870035e-004	-1.010120e-013
1.241450207004061e-004	-1.341007e-013
1.241533005272113e-004	-1.508125e-013
1.241698601808216e-004	-1.500977e-013
1.242029794880424e-004	-1.497422e-013
1.242692181024838e-004	-1.495652e-013
1.244016953313667e-004	-1.494765e-013
1.246666497891325e-004	-7.931129e-014
1.246914892695480e-004	-1.012980e-014
1.247246085767688e-004	-5.682904e-015
1.247908471912102e-004	-1.995783e-019
1.248074068448206e-004	-1.317529e-019
1.248405261520413e-004	-2.156142e-019
1.248488059788465e-004	-1.873137e-019
1.248653656324569e-004	3.352694e-021
1.248695055458595e-004	8.724366e-021
1.248777853726647e-004	9.531217e-021
1.248943450262750e-004	2.648861e-021
1.249108061225409e-004	8.154603e-021
1.249437283150728e-004	1.245595e-020
1.249793034525484e-004	5.875324e-021
1.250504537274998e-004	-3.149734e-020
1.250526771735920e-004	-5.388090e-020
1.250571240657764e-004	-9.527473e-020
1.250660178501453e-004	-7.212842e-020
1.250838054188832e-004	-1.356103e-019
1.250843612804062e-004	-2.213163e-019
1.250854730034523e-004	-3.579605e-019
1.250876964495446e-004	-2.216164e-019
1.250922823071098e-004	-4.568271e-019
1.250924212724905e-004	-1.794653e-016
1.250925602378713e-004	-2.787190e-016
1.250926992032521e-004	-2.982180e-016
1.250928381686329e-004	-2.379621e-016
1.250929771340136e-004	-9.795149e-017
1.250931160993944e-004	1.218139e-016
1.250932550647752e-004	4.213341e-016
1.250932551326294e-004	4.983652e-016
